mentorID, userID
0,21
1,248
2,255
3,110
4,43
5,344
6,18
7,67
8,417
9,106
10,93
11,240
12,352
13,408
14,64
15,395
16,205
17,374
18,29
19,203
20,451
21,54
22,470
23,333
24,151
25,294
26,339
27,155
28,420
29,210
30,101
31,357
32,17
33,369
34,146
35,230
36,412
37,452
38,280
39,69
40,328
41,318
42,213
43,8
44,178
45,274
46,429
47,125
48,368
49,51
50,130
51,113
52,483
53,446
54,300
55,355
56,431
57,39
58,192
59,150
60,480
61,469
62,89
63,6
64,217
65,378
66,218
67,323
68,447
69,9
70,153
71,332
72,232
73,231
74,394
75,163
76,422
77,325
78,223
79,242
80,211
81,159
82,224
83,191
84,302
85,301
86,393
87,400
88,5
89,278
90,298
91,442
92,353
93,40
94,25
95,149
96,200
97,472
98,398
99,277
